pha_id,name,pha_type,state,zip_code
AK,Alaska Department of Health and Social Services,STATE,ALASKA,(null)
al,Alabama Department of Public Health,STATE,ALABAMA,(null)
ar,Arkansas Department of Health,STATE,ARKANSAS,(null)
as,American Samoa,STATE,AMERICAN_SAMOA,(null)
az,Arizona Department of Health Services,STATE,ARIZONA,(null)
ca,California Department of Public Health,STATE,CALIFORNIA,90041
ca,California Department of Public Health,STATE,CALIFORNIA,90042
ca,California Department of Public Health,STATE,CALIFORNIA,90221
ca,California Department of Public Health,STATE,CALIFORNIA,90630
ca,California Department of Public Health,STATE,CALIFORNIA,90706
ca,California Department of Public Health,STATE,CALIFORNIA,90712
ca,California Department of Public Health,STATE,CALIFORNIA,90713
ca,California Department of Public Health,STATE,CALIFORNIA,90716
ca,California Department of Public Health,STATE,CALIFORNIA,90723
ca,California Department of Public Health,STATE,CALIFORNIA,90731
ca,California Department of Public Health,STATE,CALIFORNIA,90744
ca,California Department of Public Health,STATE,CALIFORNIA,90755
ca,California Department of Public Health,STATE,CALIFORNIA,90802
ca,California Department of Public Health,STATE,CALIFORNIA,90803
ca,California Department of Public Health,STATE,CALIFORNIA,90804
ca,California Department of Public Health,STATE,CALIFORNIA,90805
ca,California Department of Public Health,STATE,CALIFORNIA,90806
ca,California Department of Public Health,STATE,CALIFORNIA,90807
ca,California Department of Public Health,STATE,CALIFORNIA,90808
ca,California Department of Public Health,STATE,CALIFORNIA,90810
ca,California Department of Public Health,STATE,CALIFORNIA,90813
ca,California Department of Public Health,STATE,CALIFORNIA,90814
ca,California Department of Public Health,STATE,CALIFORNIA,90815
ca,California Department of Public Health,STATE,CALIFORNIA,90822
ca,California Department of Public Health,STATE,CALIFORNIA,90831
ca,California Department of Public Health,STATE,CALIFORNIA,90840
ca,California Department of Public Health,STATE,CALIFORNIA,90846
ca,California Department of Public Health,STATE,CALIFORNIA,91001
ca,California Department of Public Health,STATE,CALIFORNIA,91006
ca,California Department of Public Health,STATE,CALIFORNIA,91011
ca,California Department of Public Health,STATE,CALIFORNIA,91024
ca,California Department of Public Health,STATE,CALIFORNIA,91030
ca,California Department of Public Health,STATE,CALIFORNIA,91101
ca,California Department of Public Health,STATE,CALIFORNIA,91103
ca,California Department of Public Health,STATE,CALIFORNIA,91104
ca,California Department of Public Health,STATE,CALIFORNIA,91105
ca,California Department of Public Health,STATE,CALIFORNIA,91106
ca,California Department of Public Health,STATE,CALIFORNIA,91107
ca,California Department of Public Health,STATE,CALIFORNIA,91108
ca,California Department of Public Health,STATE,CALIFORNIA,91206
ca,California Department of Public Health,STATE,CALIFORNIA,91901
ca,California Department of Public Health,STATE,CALIFORNIA,91902
ca,California Department of Public Health,STATE,CALIFORNIA,91903
ca,California Department of Public Health,STATE,CALIFORNIA,91905
ca,California Department of Public Health,STATE,CALIFORNIA,91906
ca,California Department of Public Health,STATE,CALIFORNIA,91908
ca,California Department of Public Health,STATE,CALIFORNIA,91909
ca,California Department of Public Health,STATE,CALIFORNIA,91910
ca,California Department of Public Health,STATE,CALIFORNIA,91911
ca,California Department of Public Health,STATE,CALIFORNIA,91912
ca,California Department of Public Health,STATE,CALIFORNIA,91913
ca,California Department of Public Health,STATE,CALIFORNIA,91914
ca,California Department of Public Health,STATE,CALIFORNIA,91915
ca,California Department of Public Health,STATE,CALIFORNIA,91916
ca,California Department of Public Health,STATE,CALIFORNIA,91917
ca,California Department of Public Health,STATE,CALIFORNIA,91921
ca,California Department of Public Health,STATE,CALIFORNIA,91931
ca,California Department of Public Health,STATE,CALIFORNIA,91932
ca,California Department of Public Health,STATE,CALIFORNIA,91933
ca,California Department of Public Health,STATE,CALIFORNIA,91934
ca,California Department of Public Health,STATE,CALIFORNIA,91935
ca,California Department of Public Health,STATE,CALIFORNIA,91941
ca,California Department of Public Health,STATE,CALIFORNIA,91942
ca,California Department of Public Health,STATE,CALIFORNIA,91943
ca,California Department of Public Health,STATE,CALIFORNIA,91944
ca,California Department of Public Health,STATE,CALIFORNIA,91945
ca,California Department of Public Health,STATE,CALIFORNIA,91946
ca,California Department of Public Health,STATE,CALIFORNIA,91947
ca,California Department of Public Health,STATE,CALIFORNIA,91948
ca,California Department of Public Health,STATE,CALIFORNIA,91950
ca,California Department of Public Health,STATE,CALIFORNIA,91951
ca,California Department of Public Health,STATE,CALIFORNIA,91962
ca,California Department of Public Health,STATE,CALIFORNIA,91963
ca,California Department of Public Health,STATE,CALIFORNIA,91976
ca,California Department of Public Health,STATE,CALIFORNIA,91977
ca,California Department of Public Health,STATE,CALIFORNIA,91978
ca,California Department of Public Health,STATE,CALIFORNIA,91979
ca,California Department of Public Health,STATE,CALIFORNIA,91980
ca,California Department of Public Health,STATE,CALIFORNIA,91987
ca,California Department of Public Health,STATE,CALIFORNIA,91990
ca,California Department of Public Health,STATE,CALIFORNIA,92003
ca,California Department of Public Health,STATE,CALIFORNIA,92004
ca,California Department of Public Health,STATE,CALIFORNIA,92007
ca,California Department of Public Health,STATE,CALIFORNIA,92008
ca,California Department of Public Health,STATE,CALIFORNIA,92009
ca,California Department of Public Health,STATE,CALIFORNIA,92010
ca,California Department of Public Health,STATE,CALIFORNIA,92011
ca,California Department of Public Health,STATE,CALIFORNIA,92013
ca,California Department of Public Health,STATE,CALIFORNIA,92014
ca,California Department of Public Health,STATE,CALIFORNIA,92018
ca,California Department of Public Health,STATE,CALIFORNIA,92019
ca,California Department of Public Health,STATE,CALIFORNIA,92020
ca,California Department of Public Health,STATE,CALIFORNIA,92021
ca,California Department of Public Health,STATE,CALIFORNIA,92022
ca,California Department of Public Health,STATE,CALIFORNIA,92023
ca,California Department of Public Health,STATE,CALIFORNIA,92024
ca,California Department of Public Health,STATE,CALIFORNIA,92025
ca,California Department of Public Health,STATE,CALIFORNIA,92026
ca,California Department of Public Health,STATE,CALIFORNIA,92027
ca,California Department of Public Health,STATE,CALIFORNIA,92028
ca,California Department of Public Health,STATE,CALIFORNIA,92029
ca,California Department of Public Health,STATE,CALIFORNIA,92030
ca,California Department of Public Health,STATE,CALIFORNIA,92033
ca,California Department of Public Health,STATE,CALIFORNIA,92036
ca,California Department of Public Health,STATE,CALIFORNIA,92037
ca,California Department of Public Health,STATE,CALIFORNIA,92038
ca,California Department of Public Health,STATE,CALIFORNIA,92039
ca,California Department of Public Health,STATE,CALIFORNIA,92040
ca,California Department of Public Health,STATE,CALIFORNIA,92046
ca,California Department of Public Health,STATE,CALIFORNIA,92049
ca,California Department of Public Health,STATE,CALIFORNIA,92051
ca,California Department of Public Health,STATE,CALIFORNIA,92052
ca,California Department of Public Health,STATE,CALIFORNIA,92054
ca,California Department of Public Health,STATE,CALIFORNIA,92055
ca,California Department of Public Health,STATE,CALIFORNIA,92056
ca,California Department of Public Health,STATE,CALIFORNIA,92057
ca,California Department of Public Health,STATE,CALIFORNIA,92058
ca,California Department of Public Health,STATE,CALIFORNIA,92059
ca,California Department of Public Health,STATE,CALIFORNIA,92060
ca,California Department of Public Health,STATE,CALIFORNIA,92061
ca,California Department of Public Health,STATE,CALIFORNIA,92064
ca,California Department of Public Health,STATE,CALIFORNIA,92065
ca,California Department of Public Health,STATE,CALIFORNIA,92066
ca,California Department of Public Health,STATE,CALIFORNIA,92067
ca,California Department of Public Health,STATE,CALIFORNIA,92068
ca,California Department of Public Health,STATE,CALIFORNIA,92069
ca,California Department of Public Health,STATE,CALIFORNIA,92070
ca,California Department of Public Health,STATE,CALIFORNIA,92071
ca,California Department of Public Health,STATE,CALIFORNIA,92072
ca,California Department of Public Health,STATE,CALIFORNIA,92074
ca,California Department of Public Health,STATE,CALIFORNIA,92075
ca,California Department of Public Health,STATE,CALIFORNIA,92078
ca,California Department of Public Health,STATE,CALIFORNIA,92079
ca,California Department of Public Health,STATE,CALIFORNIA,92081
ca,California Department of Public Health,STATE,CALIFORNIA,92082
ca,California Department of Public Health,STATE,CALIFORNIA,92083
ca,California Department of Public Health,STATE,CALIFORNIA,92084
ca,California Department of Public Health,STATE,CALIFORNIA,92085
ca,California Department of Public Health,STATE,CALIFORNIA,92086
ca,California Department of Public Health,STATE,CALIFORNIA,92088
ca,California Department of Public Health,STATE,CALIFORNIA,92090
ca,California Department of Public Health,STATE,CALIFORNIA,92091
ca,California Department of Public Health,STATE,CALIFORNIA,92092
ca,California Department of Public Health,STATE,CALIFORNIA,92093
ca,California Department of Public Health,STATE,CALIFORNIA,92096
ca,California Department of Public Health,STATE,CALIFORNIA,92101
ca,California Department of Public Health,STATE,CALIFORNIA,92102
ca,California Department of Public Health,STATE,CALIFORNIA,92103
ca,California Department of Public Health,STATE,CALIFORNIA,92104
ca,California Department of Public Health,STATE,CALIFORNIA,92105
ca,California Department of Public Health,STATE,CALIFORNIA,92106
ca,California Department of Public Health,STATE,CALIFORNIA,92107
ca,California Department of Public Health,STATE,CALIFORNIA,92108
ca,California Department of Public Health,STATE,CALIFORNIA,92109
ca,California Department of Public Health,STATE,CALIFORNIA,92110
ca,California Department of Public Health,STATE,CALIFORNIA,92111
ca,California Department of Public Health,STATE,CALIFORNIA,92112
ca,California Department of Public Health,STATE,CALIFORNIA,92113
ca,California Department of Public Health,STATE,CALIFORNIA,92114
